time,V(2)
2.180000000e-03,8.869594668e+00
2.190000000e-03,8.880842435e+00
2.200000000e-03,8.891978283e+00
2.210000000e-03,8.903003328e+00
2.220000000e-03,8.913918671e+00
2.230000000e-03,8.924725405e+00
2.240000000e-03,8.935424609e+00
2.250000000e-03,8.946017353e+00
2.260000000e-03,8.956504698e+00
2.270000000e-03,8.966887692e+00
2.280000000e-03,8.977167372e+00
2.290000000e-03,8.987344768e+00
2.300000000e-03,8.997420897e+00
2.310000000e-03,9.007396766e+00
2.320000000e-03,9.017273373e+00
2.330000000e-03,9.027051705e+00
2.340000000e-03,9.036732741e+00
2.350000000e-03,9.046317449e+00
2.360000000e-03,9.055806788e+00
2.370000000e-03,9.065201705e+00
2.380000000e-03,9.074503141e+00
2.390000000e-03,9.083712025e+00
2.400000000e-03,9.092829280e+00
2.410000000e-03,9.101855816e+00
2.420000000e-03,9.110792536e+00
2.430000000e-03,9.119640333e+00
2.440000000e-03,9.128400094e+00
2.450000000e-03,9.137072693e+00
2.460000000e-03,9.145658997e+00
2.470000000e-03,9.154159867e+00
2.480000000e-03,9.162576150e+00
2.490000000e-03,9.170908691e+00
2.500000000e-03,9.179158320e+00
2.510000000e-03,9.187325864e+00
2.520000000e-03,9.195412140e+00
2.530000000e-03,9.203417955e+00
2.540000000e-03,9.211344110e+00
2.550000000e-03,9.219191399e+00
2.560000000e-03,9.226960606e+00
2.570000000e-03,9.234652507e+00
2.580000000e-03,9.242267873e+00
2.590000000e-03,9.249807464e+00
2.600000000e-03,9.257272034e+00
2.610000000e-03,9.264662331e+00
2.620000000e-03,9.271979092e+00
2.630000000e-03,9.279223051e+00
2.640000000e-03,9.286394930e+00
2.650000000e-03,9.293495448e+00
2.660000000e-03,9.300525314e+00
2.670000000e-03,9.307485231e+00
2.680000000e-03,9.314375896e+00
2.690000000e-03,9.321197997e+00
2.700000000e-03,9.327952217e+00
2.710000000e-03,9.334639231e+00
2.720000000e-03,9.341259708e+00
2.730000000e-03,9.347814310e+00
2.740000000e-03,9.354303692e+00
2.750000000e-03,9.360728504e+00
2.760000000e-03,9.367089387e+00
2.770000000e-03,9.373386978e+00
2.780000000e-03,9.379621907e+00
2.790000000e-03,9.385794797e+00
2.800000000e-03,9.391906266e+00
