Time(s),Switch State,V1(V),V2(V),V3(V),Capacitor Voltage(V)
0.013400,CLOSED,-5.000000,-5.000000,-4.990763,-4.990763
0.013450,CLOSED,-5.000000,-5.000000,-4.991202,-4.991202
0.013500,CLOSED,-5.000000,-5.000000,-4.991621,-4.991621
0.013550,CLOSED,-5.000000,-5.000000,-4.992020,-4.992020
0.013600,CLOSED,-5.000000,-5.000000,-4.992400,-4.992400
0.013650,CLOSED,-5.000000,-5.000000,-4.992762,-4.992762
0.013700,CLOSED,-5.000000,-5.000000,-4.993107,-4.993107
0.013750,CLOSED,-5.000000,-5.000000,-4.993435,-4.993435
0.013800,CLOSED,-5.000000,-5.000000,-4.993748,-4.993748
0.013850,CLOSED,-5.000000,-5.000000,-4.994045,-4.994045
0.013900,CLOSED,-5.000000,-5.000000,-4.994329,-4.994329
0.013950,CLOSED,-5.000000,-5.000000,-4.994599,-4.994599
0.014000,CLOSED,-5.000000,-5.000000,-4.994856,-4.994856
0.014050,CLOSED,-5.000000,-5.000000,-4.995101,-4.995101
0.014100,CLOSED,-5.000000,-5.000000,-4.995334,-4.995334
0.014150,CLOSED,-5.000000,-5.000000,-4.995557,-4.995557
0.014200,CLOSED,-5.000000,-5.000000,-4.995768,-4.995768
0.014250,CLOSED,-5.000000,-5.000000,-4.995970,-4.995970
0.014300,CLOSED,-5.000000,-5.000000,-4.996162,-4.996162
0.014350,CLOSED,-5.000000,-5.000000,-4.996344,-4.996344
0.014400,CLOSED,-5.000000,-5.000000,-4.996518,-4.996518
0.014450,CLOSED,-5.000000,-5.000000,-4.996684,-4.996684
0.014500,CLOSED,-5.000000,-5.000000,-4.996842,-4.996842
0.014550,CLOSED,-5.000000,-5.000000,-4.996993,-4.996993
0.014600,CLOSED,-5.000000,-5.000000,-4.997136,-4.997136
0.014650,CLOSED,-5.000000,-5.000000,-4.997272,-4.997272
0.014700,CLOSED,-5.000000,-5.000000,-4.997402,-4.997402
0.014750,CLOSED,-5.000000,-5.000000,-4.997526,-4.997526
0.014800,CLOSED,-5.000000,-5.000000,-4.997644,-4.997644
0.014850,CLOSED,-5.000000,-5.000000,-4.997756,-4.997756
0.014900,CLOSED,-5.000000,-5.000000,-4.997863,-4.997863
0.014950,CLOSED,-5.000000,-5.000000,-4.997964,-4.997964
0.015000,CLOSED,-5.000000,-5.000000,-4.998061,-4.998061
0.015050,CLOSED,-5.000000,-5.000000,-4.998154,-4.998154
0.015100,CLOSED,-5.000000,-5.000000,-4.998242,-4.998242
0.015150,CLOSED,-5.000000,-5.000000,-4.998325,-4.998325
0.015200,CLOSED,-5.000000,-5.000000,-4.998405,-4.998405
0.015250,CLOSED,-5.000000,-5.000000,-4.998481,-4.998481
0.015300,CLOSED,-5.000000,-5.000000,-4.998553,-4.998553
0.015350,CLOSED,-5.000000,-5.000000,-4.998622,-4.998622
0.015400,CLOSED,-5.000000,-5.000000,-4.998688,-4.998688
0.015450,CLOSED,-5.000000,-5.000000,-4.998750,-4.998750
0.015500,CLOSED,-5.000000,-5.000000,-4.998810,-4.998810
0.015550,CLOSED,-5.000000,-5.000000,-4.998867,-4.998867
0.015600,CLOSED,-5.000000,-5.000000,-4.998920,-4.998920
0.015650,CLOSED,-5.000000,-5.000000,-4.998972,-4.998972
0.015700,CLOSED,-5.000000,-5.000000,-4.999021,-4.999021
0.015750,CLOSED,-5.000000,-5.000000,-4.999067,-4.999067
0.015800,CLOSED,-5.000000,-5.000000,-4.999112,-4.999112
0.015850,CLOSED,-5.000000,-5.000000,-4.999154,-4.999154
0.015900,CLOSED,-5.000000,-5.000000,-4.999194,-4.999194
0.015950,CLOSED,-5.000000,-5.000000,-4.999233,-4.999233
0.016000,CLOSED,-5.000000,-5.000000,-4.999269,-4.999269
0.016050,CLOSED,-5.000000,-5.000000,-4.999304,-4.999304
0.016100,CLOSED,-5.000000,-5.000000,-4.999337,-4.999337
0.016150,CLOSED,-5.000000,-5.000000,-4.999369,-4.999369
0.016200,CLOSED,-5.000000,-5.000000,-4.999399,-4.999399
0.016250,CLOSED,-5.000000,-5.000000,-4.999428,-4.999428
0.016300,CLOSED,-5.000000,-5.000000,-4.999455,-4.999455
0.016350,CLOSED,-5.000000,-5.000000,-4.999481,-4.999481
0.016400,CLOSED,-5.000000,-5.000000,-4.999505,-4.999505
0.016450,CLOSED,-5.000000,-5.000000,-4.999529,-4.999529
0.016500,CLOSED,-5.000000,-5.000000,-4.999551,-4.999551
0.016550,CLOSED,-5.000000,-5.000000,-4.999573,-4.999573
0.016600,CLOSED,-5.000000,-5.000000,-4.999593,-4.999593
0.016650,CLOSED,-5.000000,-5.000000,-4.999613,-4.999613
0.016700,CLOSED,-5.000000,-5.000000,-4.999631,-4.999631
0.016750,CLOSED,-5.000000,-5.000000,-4.999649,-4.999649
0.016800,CLOSED,-5.000000,-5.000000,-4.999665,-4.999665
0.016850,CLOSED,-5.000000,-5.000000,-4.999681,-4.999681
