Time,Input,Output,DiodeCurrent
0.000040,1.240406,-1.906002,-0.001906
0.000040,1.243449,-1.909031,-0.001909
0.000040,1.246492,-1.912060,-0.001912
0.000040,1.249534,-1.915089,-0.001915
0.000040,1.252576,-1.918117,-0.001918
0.000040,1.255617,-1.921145,-0.001921
0.000040,1.258658,-1.924172,-0.001924
0.000041,1.261698,-1.927198,-0.001927
0.000041,1.264738,-1.930224,-0.001930
0.000041,1.267777,-1.933250,-0.001933
0.000041,1.270815,-1.936275,-0.001936
0.000041,1.273854,-1.939300,-0.001939
0.000041,1.276891,-1.942324,-0.001942
0.000041,1.279928,-1.945347,-0.001945
0.000041,1.282965,-1.948371,-0.001948
0.000041,1.286001,-1.951393,-0.001951
0.000041,1.289037,-1.954415,-0.001954
0.000042,1.292072,-1.957437,-0.001957
0.000042,1.295107,-1.960458,-0.001960
0.000042,1.298141,-1.963478,-0.001963
0.000042,1.301174,-1.966498,-0.001966
0.000042,1.304208,-1.969518,-0.001970
0.000042,1.307240,-1.972537,-0.001973
0.000042,1.310272,-1.975556,-0.001976
0.000042,1.313304,-1.978574,-0.001979
0.000042,1.316335,-1.981591,-0.001982
0.000042,1.319365,-1.984608,-0.001985
0.000043,1.322395,-1.987624,-0.001988
0.000043,1.325425,-1.990640,-0.001991
0.000043,1.328454,-1.993656,-0.001994
0.000043,1.331482,-1.996671,-0.001997
0.000043,1.334510,-1.999685,-0.002000
0.000043,1.337537,-2.002699,-0.002003
0.000043,1.340564,-2.005712,-0.002006
0.000043,1.343590,-2.008725,-0.002009
0.000043,1.346616,-2.011737,-0.002012
0.000044,1.349641,-2.014749,-0.002015
0.000044,1.352666,-2.017760,-0.002018
0.000044,1.355690,-2.020771,-0.002021
0.000044,1.358714,-2.023781,-0.002024
0.000044,1.361737,-2.026791,-0.002027
0.000044,1.364760,-2.029800,-0.002030
0.000044,1.367782,-2.032808,-0.002033
0.000044,1.370803,-2.035816,-0.002036
0.000044,1.373824,-2.038824,-0.002039
0.000044,1.376845,-2.041830,-0.002042
0.000044,1.379864,-2.044837,-0.002045
0.000045,1.382884,-2.047843,-0.002048
0.000045,1.385903,-2.050848,-0.002051
0.000045,1.388921,-2.053853,-0.002054
0.000045,1.391938,-2.056857,-0.002057
0.000045,1.394956,-2.059861,-0.002060
0.000045,1.397972,-2.062864,-0.002063
0.000045,1.400988,-2.065866,-0.002066
0.000045,1.404004,-2.068868,-0.002069
0.000045,1.407019,-2.071870,-0.002072
0.000045,1.410033,-2.074871,-0.002075
0.000046,1.413047,-2.077871,-0.002078
0.000046,1.416060,-2.080871,-0.002081
0.000046,1.419073,-2.083870,-0.002084
0.000046,1.422085,-2.086869,-0.002087
0.000046,1.425096,-2.089867,-0.002090
0.000046,1.428107,-2.092864,-0.002093
0.000046,1.431118,-2.095861,-0.002096
0.000046,1.434128,-2.098858,-0.002099
0.000046,1.437137,-2.101853,-0.002102
0.000046,1.440146,-2.104849,-0.002105
0.000047,1.443154,-2.107844,-0.002108
0.000047,1.446161,-2.110838,-0.002111
0.000047,1.449168,-2.113831,-0.002114
0.000047,1.452175,-2.116824,-0.002117
0.000047,1.455181,-2.119817,-0.002120
0.000047,1.458186,-2.122809,-0.002123
0.000047,1.461191,-2.125800,-0.002126
0.000047,1.464195,-2.128791,-0.002129
0.000047,1.467199,-2.131781,-0.002132
0.000047,1.470202,-2.134770,-0.002135
0.000048,1.473204,-2.137759,-0.002138
0.000048,1.476206,-2.140748,-0.002141
0.000048,1.479207,-2.143736,-0.002144
0.000048,1.482208,-2.146723,-0.002147
0.000048,1.485208,-2.149710,-0.002150
0.000048,1.488207,-2.152696,-0.002153
0.000048,1.491206,-2.155681,-0.002156
0.000048,1.494205,-2.158666,-0.002159
0.000048,1.497202,-2.161651,-0.002162
0.000048,1.500200,-2.164634,-0.002165
0.000049,1.503196,-2.167617,-0.002168
0.000049,1.506192,-2.170600,-0.002171
0.000049,1.509187,-2.173582,-0.002174
0.000049,1.512182,-2.176563,-0.002177
0.000049,1.515176,-2.179544,-0.002180
0.000049,1.518170,-2.182524,-0.002183
0.000049,1.521163,-2.185504,-0.002186
0.000049,1.524155,-2.188483,-0.002188
0.000049,1.527147,-2.191461,-0.002191
0.000049,1.530138,-2.194439,-0.002194
0.000050,1.533129,-2.197416,-0.002197
0.000050,1.536119,-2.200393,-0.002200
0.000050,1.539108,-2.203369,-0.002203
0.000050,1.542097,-2.206344,-0.002206
0.000050,1.545085,-2.209319,-0.002209
0.000050,1.548072,-2.212293,-0.002212
0.000050,1.551059,-2.215267,-0.002215
0.000050,1.554046,-2.218240,-0.002218
0.000050,1.557031,-2.221212,-0.002221
0.000051,1.560016,-2.224184,-0.002224
0.000051,1.563001,-2.227155,-0.002227
0.000051,1.565985,-2.230126,-0.002230
0.000051,1.568968,-2.233096,-0.002233
0.000051,1.571951,-2.236065,-0.002236
0.000051,1.574933,-2.239033,-0.002239
0.000051,1.577914,-2.242001,-0.002242
0.000051,1.580895,-2.244969,-0.002245
0.000051,1.583875,-2.247936,-0.002248
0.000051,1.586854,-2.250902,-0.002251
0.000051,1.589833,-2.253867,-0.002254
0.000052,1.592811,-2.256832,-0.002257
0.000052,1.595789,-2.259797,-0.002260
0.000052,1.598766,-2.262760,-0.002263
0.000052,1.601742,-2.265723,-0.002266
0.000052,1.604718,-2.268686,-0.002269
0.000052,1.607693,-2.271648,-0.002272
0.000052,1.610668,-2.274609,-0.002275
0.000052,1.613641,-2.277569,-0.002278
0.000052,1.616615,-2.280529,-0.002281
0.000052,1.619587,-2.283488,-0.002283
0.000053,1.622559,-2.286447,-0.002286
0.000053,1.625530,-2.289405,-0.002289
0.000053,1.628501,-2.292362,-0.002292
0.000053,1.631471,-2.295319,-0.002295
0.000053,1.634440,-2.298275,-0.002298
0.000053,1.637409,-2.301231,-0.002301
0.000053,1.640377,-2.304185,-0.002304
0.000053,1.643344,-2.307139,-0.002307
0.000053,1.646311,-2.310093,-0.002310
0.000053,1.649277,-2.313046,-0.002313
0.000054,1.652243,-2.315998,-0.002316
0.000054,1.655207,-2.318949,-0.002319
0.000054,1.658171,-2.321900,-0.002322
0.000054,1.661135,-2.324851,-0.002325
0.000054,1.664098,-2.327800,-0.002328
0.000054,1.667060,-2.330749,-0.002331
0.000054,1.670021,-2.333697,-0.002334
0.000054,1.672982,-2.336645,-0.002337
0.000054,1.675942,-2.339592,-0.002340
0.000054,1.678902,-2.342538,-0.002343
0.000055,1.681861,-2.345484,-0.002345
0.000055,1.684819,-2.348429,-0.002348
0.000055,1.687777,-2.351373,-0.002351
0.000055,1.690733,-2.354317,-0.002354
0.000055,1.693690,-2.357260,-0.002357
0.000055,1.696645,-2.360202,-0.002360
0.000055,1.699600,-2.363144,-0.002363
0.000055,1.702554,-2.366085,-0.002366
0.000055,1.705508,-2.369025,-0.002369
0.000056,1.708461,-2.371965,-0.002372
0.000056,1.711413,-2.374904,-0.002375
0.000056,1.714364,-2.377842,-0.002378
0.000056,1.717315,-2.380780,-0.002381
0.000056,1.720265,-2.383717,-0.002384
0.000056,1.723215,-2.386653,-0.002387
0.000056,1.726163,-2.389589,-0.002390
0.000056,1.729111,-2.392523,-0.002393
0.000056,1.732059,-2.395458,-0.002395
0.000056,1.735006,-2.398391,-0.002398
0.000056,1.737952,-2.401324,-0.002401
0.000057,1.740897,-2.404256,-0.002404
0.000057,1.743842,-2.407188,-0.002407
0.000057,1.746786,-2.410119,-0.002410
0.000057,1.749729,-2.413049,-0.002413
0.000057,1.752672,-2.415978,-0.002416
0.000057,1.755614,-2.418907,-0.002419
0.000057,1.758555,-2.421835,-0.002422
0.000057,1.761495,-2.424763,-0.002425
0.000057,1.764435,-2.427689,-0.002428
0.000057,1.767374,-2.430615,-0.002431
0.000058,1.770313,-2.433541,-0.002434
0.000058,1.773250,-2.436465,-0.002436
0.000058,1.776187,-2.439389,-0.002439
0.000058,1.779124,-2.442312,-0.002442
0.000058,1.782059,-2.445235,-0.002445
0.000058,1.784994,-2.448157,-0.002448
0.000058,1.787929,-2.451078,-0.002451
0.000058,1.790862,-2.453998,-0.002454
0.000058,1.793795,-2.456918,-0.002457
0.000058,1.796727,-2.459837,-0.002460
0.000059,1.799658,-2.462755,-0.002463
0.000059,1.802589,-2.465673,-0.002466
0.000059,1.805519,-2.468590,-0.002469
0.000059,1.808448,-2.471506,-0.002472
0.000059,1.811377,-2.474421,-0.002474
0.000059,1.814305,-2.477336,-0.002477
0.000059,1.817232,-2.480250,-0.002480
0.000059,1.820158,-2.483163,-0.002483
0.000059,1.823084,-2.486076,-0.002486
0.000059,1.826009,-2.488988,-0.002489
0.000060,1.828933,-2.491899,-0.002492
0.000060,1.831857,-2.494809,-0.002495
0.000060,1.834779,-2.497719,-0.002498
0.000060,1.837701,-2.500628,-0.002501
0.000060,1.840623,-2.503536,-0.002504
0.000060,1.843543,-2.506444,-0.002506
0.000060,1.846463,-2.509351,-0.002509
0.000060,1.849382,-2.512257,-0.002512
0.000060,1.852301,-2.515162,-0.002515
0.000061,1.855219,-2.518067,-0.002518
0.000061,1.858136,-2.520971,-0.002521
0.000061,1.861052,-2.523874,-0.002524
0.000061,1.863967,-2.526777,-0.002527
0.000061,1.866882,-2.529678,-0.002530
0.000061,1.869796,-2.532579,-0.002533
0.000061,1.872709,-2.535480,-0.002535
0.000061,1.875622,-2.538379,-0.002538
0.000061,1.878534,-2.541278,-0.002541
0.000061,1.881445,-2.544176,-0.002544
0.000061,1.884355,-2.547073,-0.002547
0.000062,1.887265,-2.549970,-0.002550
0.000062,1.890173,-2.552866,-0.002553
0.000062,1.893082,-2.555761,-0.002556
0.000062,1.895989,-2.558655,-0.002559
0.000062,1.898895,-2.561549,-0.002562
0.000062,1.901801,-2.564442,-0.002564
0.000062,1.904706,-2.567334,-0.002567
0.000062,1.907611,-2.570225,-0.002570
0.000062,1.910514,-2.573116,-0.002573
0.000063,1.913417,-2.576006,-0.002576
0.000063,1.916319,-2.578895,-0.002579
0.000063,1.919221,-2.581783,-0.002582
